fpr,tpr,thresholds
0.0,0.0,inf
0.0,0.47619047619047616,1.0
0.0,0.9285714285714286,0.5161284045382029
0.05555555555555555,0.9285714285714286,0.3992297196607463
0.05555555555555555,0.9523809523809523,0.32400735063825664
0.06944444444444445,0.9523809523809523,0.24944716266150407
0.06944444444444445,0.9761904761904762,0.18574736492431662
0.09722222222222222,0.9761904761904762,0.15270295763804814
0.09722222222222222,1.0,0.14433771169276727
0.4305555555555556,1.0,0.012274579175613658
0.4583333333333333,1.0,0.011964242356416735
0.5972222222222222,1.0,0.00456
0.625,1.0,0.004170731707317073
0.6388888888888888,1.0,0.0038513513513513515
0.6805555555555556,1.0,0.0031318681318681313
0.6944444444444444,1.0,0.0010919540229885056
1.0,1.0,0.0
